 name,H2,CH4,aIM,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),k(H2/CH4),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,score2,Sh2/ch4,score,rmps,PH2,PCH4,score1,Kh_H2,Kh_CH4, void fraction [widom], supercell volume [A^3],dimensions, density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v], num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,0,TOP
 linker110_C_linker49_C_gme_relaxed,0.67661,0.673555,17.35331973,0.0464616,0.806263,2.81E-10,1.23E-158,3.9775E+149,2.51E-150,17.35331973,0.057625862,3.9775E+149,2.5141E-150,2.6915E+155,93.29192242,1.004042768,9.4925E+298,2.6915E+155,1.7013E-144,676681.6942,9.4925E+298,0.0464616,0.806263,0.774002,37137.01067,3,451.2120397,3049.1,146.4975129,624,0,480,96,48,0,0,1,4,25,17.58356,16.10518,17.51239,1,0.000114969,1
 linker98_N_linker73_CH_uon_relaxed,0.646398,0.345389,6.520731493,0.0438391,0.285863,9.23E-09,1.95E-147,3.0782E+139,3.25E-140,6.520731493,0.153357028,3.0782E+139,3.2486E-140,2.4239E+146,87.65146944,1.004042768,5.6853E+278,2.4239E+146,2.5581E-133,7874430.553,5.6853E+278,0.0438391,0.285863,0.755095,88815.76359,3,341.6297009,4360.5,123.9424555,1116,0,828,288,0,0,0,1,2,7,22.3341,21.85891,22.3341,2,0.000229938,1
 linker111_C_linker50_C_qdl_relaxed,0.54317,0.793434,14.93389025,0.0420891,0.628554,8.97E-11,3.59E-139,3.7381E+129,2.68E-130,14.93389025,0.066961788,3.7381E+129,2.6752E-130,6.2945E+134,81.034113,1.004042768,8.3839E+258,6.2945E+134,4.5047E-125,168388.6785,8.3839E+258,0.0420891,0.628554,0.527499,82897.38092,3,699.6500995,2218.02,84.60205538,2268,0,1620,324,0,0,54,1,3,7,7.89938,5.16156,7.89937,3,0.000344907,1
 linker108_CH_linker50_N_mdf_relaxed,0.66634,0.549434,10.18620253,0.044269,0.450933,3.78E-09,3.66E-134,1.0538E+126,9.49E-127,10.18620253,0.098172012,1.0538E+126,9.4895E-127,5.3669E+132,79.49644023,1.004042768,6.6629E+251,5.3669E+132,4.8329E-120,5092895.632,6.6629E+251,0.044269,0.450933,0.727666,33884.78447,3,486.6547108,3113.75,144.2020612,608,0,384,160,0,0,0,1,2,5,15.88756,15.262,15.88036,4,0.000459876,1
 linker100_C_linker69_C_umc_relaxed_interp_2,0.68526,0.551371,8.890043393,0.0436936,0.388438,3.62E-09,4.47E-134,7.1881E+125,1.39E-126,8.890043393,0.11248539,7.1881E+125,1.3912E-126,3.0138E+132,79.36296857,1.004042768,3.1002E+251,3.0138E+132,5.8329E-120,4192734.352,3.1002E+251,0.0436936,0.388438,0.714711,42906.37871,3,523.1101893,4317.22,155.0995361,768,0,448,128,128,0,0,1,4,9,10.67615,7.48489,10.27095,5,0.000574845,1
 linker110_C_linker21_C_dmp_relaxed,0.639107,0.365736,6.120042583,0.0406739,0.248926,8.67E-09,6.60E-123,8.0494E+114,1.24E-115,6.120042583,0.163397556,8.0494E+114,1.2423E-115,5.1885E+121,72.86716999,1.004042768,3.8876E+229,5.1885E+121,8.0079E-109,6445845.887,3.8876E+229,0.0406739,0.248926,0.699201,34910.60498,3,417.6617826,5588.61,154.1717292,672,0,704,0,0,0,0,1,2,5,10.34954,9.43969,10.34954,6,0.000689814,1
 linker100_C_linker53_C_mer_relaxed,0.673718,0.335701,6.284060767,0.0422994,0.265812,4.67E-09,4.78E-123,6.144E+114,1.63E-115,6.284060767,0.159132771,6.144E+114,1.6276E-115,2.2763E+121,72.70057872,1.004042768,2.2649E+229,2.2763E+121,6.03E-109,3704837.403,2.2649E+229,0.0422994,0.265812,0.81826,98876.44218,3,295.9245601,5174.32,131.4865086,1152,0,960,128,64,0,0,1,4,17,25.68637,15.4286,24.67982,7,0.000804783,1
 linker91_C_linker93_C_bod_relaxed_interp_2,0.750274,0.732123,12.79093165,0.0477088,0.61024,3.00E-08,4.27E-121,8.9876E+113,1.11E-114,12.79093165,0.078180388,8.9876E+113,1.1126E-114,4.9132E+121,72.66727366,1.004042768,4.8466E+227,4.9132E+121,6.0824E-107,54666027.84,4.8466E+227,0.0477088,0.61024,0.751198,74057.66079,3,515.7085034,4518.49,153.934479,1440,0,768,352,0,0,0,2,2,6,9.4252,6.03128,9.41404,8,0.000919752,1
 linker93_C_linker91_C_bod_relaxed_interp_2,0.750274,0.732123,12.79093165,0.0477088,0.61024,3.00E-08,4.27E-121,8.9876E+113,1.11E-114,12.79093165,0.078180388,8.9876E+113,1.1126E-114,4.9132E+121,72.66727366,1.004042768,4.8466E+227,4.9132E+121,6.0824E-107,54666027.84,4.8466E+227,0.0477088,0.61024,0.751295,74057.66079,3,515.7085034,4518.49,155.391922,1440,0,768,352,0,0,0,2,2,6,9.4252,6.03128,9.41404,9,0.001034721,1
 linker103_CH_linker39_N_qtz_relaxed_interp_3,0.737907,0.355212,6.069895229,0.0476084,0.288978,1.14E-08,7.74E-119,8.9257E+110,1.12E-111,6.069895229,0.164747489,8.9257E+110,1.1204E-111,8.7599E+117,70.56712854,1.004042768,4.7801E+221,8.7599E+117,1.0995E-104,9814210.453,4.7801E+221,0.0476084,0.288978,0.876632,41877.4963,3,278.6428973,5885.93,141.9655399,441,0,216,108,0,0,0,1,1,4,24.39481,23.53522,24.39481,10,0.00114969,1
