dimensions, bond type, name,H2,CH4,a,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,#VALUE!,score,rmps,mps,PH2,PCH4,aIM, void fraction [widom], supercell volume [A^3], density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v],dimensions, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,,
3, CC, linker107_C_linker44_C_qtz_relaxed,0.232078,0.458953,19.77580813,0.0177209,0.555599,2.09E-08,2.21E-10,1872.741632,31.35275296,0.031895126,2969.062269,0.000336807,64887548293,1.02E+11,2093079.499,17990904839,1.03E+11,11669.82098,34648425.16,3.14E+01,0.105459,38509.22698,944.8241717,215.412,11.58413056,3,1296,0,1008,216,144,0,0,1,1,4,4.35262,4.05572,4.35262,1,0.000100301,1
3, CC, linker106_C_linker44_C_qtz_relaxed,0.425075,0.426503,10.03359407,0.0276754,0.288388,1.43E-08,1.27E-10,1126.099232,10.42037333,0.095965852,1169.508585,0.00085506,13859025487,14218374655,754122.1288,-2798645936,14393269104,10523.31613,12307108.55,1.04E+01,0.131969,64604.38487,787.9667555,537.683,16.82770128,3,864,0,720,192,96,0,0,1,1,4,6.09599,5.12149,6.09599,2,0.000200602,1
2, CC, linker91_C_linker50_C_hnb_relaxed,0.648156,0.581923,8.978131808,0.0429062,0.927312,3.50E-08,3.77E-10,834.6446541,21.61254084,0.046269433,2009.19212,0.000497712,80886268308,1.94E+11,412990.5458,-50282803000,1.95E+11,48233.82657,96911024.24,2.16E+01,0.70753,52695.26737,474.6632928,3296.06,141.1539857,2,792,0,504,360,0,0,0,2,2,0,16.147,14.67949,16.14699,3,0.000300903,1
3, CC, linker111_C_linker45_C_qzd_relaxed,0.655208,0.784339,11.97083979,0.0463781,0.592012,8.98E-09,1.29E-10,832.3269269,12.76490413,0.078339797,887.5378511,0.001126713,13214164919,13951417636,410685.9867,-8274233016,14090703012,17887.88088,15876171.36,1.28E+01,0.623734,41430.89922,637.0964931,3058.4,104.9142839,3,1080,0,648,108,0,0,27,1,2,4,7.58826,6.48919,7.57964,4,0.000401204,1
3, CC, linker105_C_linker44_C_qtz_relaxed,0.208125,0.611367,29.37499099,0.0185071,0.871516,3.36E-09,1.67E-10,591.3353818,47.09090025,0.021235525,947.9667751,0.001054889,5164094749,8138474827,206277.4844,-6655935741,8278534307,9212.281929,8732937.192,4.71E+01,0.0981763,37817.08628,965.2299738,80.1189,4.479949993,3,1296,0,936,144,216,0,0,1,1,4,4.15814,3.68395,3.96723,5,0.000501505,1
3, CC, linker110_C_linker74_C_lon_relaxed,0.646075,0.551558,8.537058391,0.0409404,0.364891,1.02E-08,1.62E-10,541.2438687,8.912736563,0.112198985,565.0616169,0.001769719,6038100622,6214333981,172538.511,-9061505424,6303810719,19742.9274,11155970.48,8.91E+00,0.654283,36206.4062,593.5327518,3430.66,138.6904986,3,704,0,640,128,128,0,0,1,2,5,8.86425,6.77707,8.8587,6,0.000601805,1
3, CC, linker110_C_linker1_C_umk_relaxed,0.709097,0.373093,5.261522754,0.0441973,0.277121,1.48E-08,1.76E-10,443.4828382,6.270088897,0.159487372,528.4927861,0.001892173,5427059164,6382448686,115364.3547,-11136207655,6467356504,23155.20735,12237360.04,6.27E+00,0.809405,35211.23392,355.8721286,4680.87,157.9611148,3,528,0,528,48,0,0,0,1,4,25,22.35156,21.26869,22.35156,7,0.000702106,1
3, CC, linker111_C_linker61_C_qzd_relaxed,0.66864,0.588531,8.801911342,0.0446547,0.410685,9.14E-09,1.92E-10,418.1580688,9.196904245,0.10873224,436.923251,0.002288731,4686212507,4825658002,102423.7737,-10482186960,4896510090,25649.34865,11206796.8,9.20E+00,0.66733,40917.74332,568.2892431,3834.1,129.3608319,3,864,0,594,162,0,0,27,1,2,4,7.95563,6.63609,7.91626,8,0.000802407,1
3, mixed, linker109_CH_linker92_N_lni_relaxed_interp_2,0.718716,0.389093,5.413723919,0.0449687,0.263476,7.90E-09,1.72E-10,248.5801846,5.85909755,0.170674748,269.0302594,0.003717054,1545152071,1629053960,35602.70119,-6868082199,1672267897,23104.87332,6215910.062,5.86E+00,0.783634,30049.80055,399.6495134,5000.15,168.3203478,3,492,0,312,72,0,0,0,2,3,13,13.23367,8.82387,13.22768,9,0.000902708,1
3, amide, linker108_CO_linker17_NH_qtz_relaxed_interp_2,0.71314,0.482331,6.763482626,0.044788,0.314759,2.75E-09,1.89E-10,98.17524338,7.02775297,0.142292992,102.0112561,0.00980284,253579893.9,246965182.1,5212.740433,-3242417412,263488050.6,25320.0602,2582931.146,7.03E+00,0.751699,72663.98893,501.6994701,4934.42,166.3778847,3,1056,0,624,288,288,0,0,1,1,4,9.87705,7.28895,9.76582,10,0.001003009,1
