MOF,K_ethane (mol m-3 Pa-1),K_ethene (mol m-3 Pa-1),D_ethane_a (m2/s),D_ethane_b (m2/s),D_ethane_c (m2/s),D_ethane,D_ethene_a (m2/s),D_ethene_b (m2/s),D_ethene_c (m2/s),D_ethene,P_ethane,P_ethene,K(ea/ee),Score,¦Á,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,SOCERE,A
IPEBAI_clean,620858.7911,59312.64782,0,0,5.22E-12,1.74E-12,0,0,4.95E-11,1.65E-11,3224759094,2921369221,1.103851944,4.41559093,10.46756154,5.23722,3.37327,5.23722,1.95599,430.123,219.9,0,0,0.3738,0.191105,0,1,1,1
KONCIB_clean,4131.296684,468.0197819,7.32E-12,0,3.51E-09,1.17E-09,2.77E-11,0,4.26E-09,1.43E-09,14458798460,1996744695,7.241185362,8.277799978,8.827183901,6.10125,4.4885,6.10125,2.11606,1211.94,572.736,0,0,0.4754,0.224663,0,0,1,1
LUDLAZ_clean,336.0481156,43.74352097,0,0,1.89E-08,6.30E-09,0,0,1.31E-08,4.37E-09,6319710831,570189178.8,11.08353344,27.32590635,7.682237464,6.64156,4.20343,6.64156,1.63514,826.484,505.451,0,0,0.421,0.25747,0,1,1,1
ZISXEG_clean,394899.8907,51491.41517,0,0,7.36E-11,2.45E-11,0,0,5.02E-10,1.67E-10,28920031797,25720089966,1.124414099,4.796924815,7.669237472,5.13371,3.48538,5.13371,1.96189,431.041,219.707,0,0,0.3706,0.1889,0,1,1,1
ACODUT_clean,952.1220191,134.9978911,1.01E-12,0,0,3.37E-13,4.89E-11,0,0,1.63E-11,956858.9446,6568554.104,0.14567269,2.997015913,7.052865873,5.4607,3.36863,5.4607,1.51914,446.079,293.64,0,0,0.4404,0.289902,0,0,0,1
EFILUA_clean,1300.882748,186.3082431,0,3.56E-12,0,1.19E-12,0,5.86E-11,0,1.95E-11,4608102.073,10863346.31,0.424188085,3.271587597,6.982421853,5.24567,3.1446,5.24567,2.5004,0,0,561.393,224.521,0.432,0.172772,0,0,0,1
FEV0L_clean,8781.137379,1294.035567,4.25E-08,4.26E-08,4.30E-08,4.27E-08,2.80E-08,2.99E-08,2.88E-08,2.89E-08,1.12E+12,1.12E+11,10.02615907,21.17693854,6.785854735,4.38957,3.82643,4.38957,2.76914,995.906,359.645,0,0,0.4604,0.166261,0,0,1,1
XUJSAY_clean,210.6903215,33.59560581,0,0,6.43E-11,2.14E-11,0,0,1.89E-10,6.30E-11,13479987.73,6317979.6,2.133591526,3.486017556,6.271365449,5.36362,3.81487,5.35817,1.44593,257.114,177.818,33.7457,23.3384,0.4668,0.322836,0,1,2,1
ZAZNUL_clean,169.6502446,27.35320343,5.63E-12,0,7.73E-13,2.13E-12,1.70E-11,0,2.78E-12,6.59E-12,1080866.185,538354.5909,2.007721683,3.04361257,6.202207542,14.33219,5.62688,14.33219,1.14775,1488.16,1296.59,309.364,269.539,0.6388,0.556566,0,1,0,1
KAXQIL_clean,347.8863964,56.88839708,3.26E-09,0,0,1.09E-09,4.09E-09,0,0,1.36E-09,1128467316,231515964.2,4.874252708,4.750098194,6.115243428,5.12409,3.76819,5.12409,1.55224,467.005,300.859,0,0,0.3454,0.222517,0,0,1,1
